trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1204,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.58444249615926,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
1205,False,"{'a': 0.5, 'e': 1.0}",20,5,-2.073598065084633,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
1206,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.14667350526111,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
1207,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.685605711357756,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
1208,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.37853961616027,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
1209,False,"{'a': 0.5, 'e': 1.0}",25,11,-46.03601953840985,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
1210,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.10899147386502,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1211,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.59978177425489,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
1212,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.32914615855114,"{0: 17, 1: 6, 2: 8, 3: 4, 4: 0}",0
1213,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.3650302693864,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
1214,False,"{'a': 0.5, 'e': 1.0}",35,4,-184.8439646547578,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 2}",1
1215,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.67060682938961,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1216,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.71873707932578,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1217,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.85151226887173,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
1218,False,"{'a': 0.5, 'e': 1.0}",30,0,-265.1099370890625,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
1219,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.1880876683131,"{0: 14, 1: 8, 2: 6, 3: 0, 4: 2}",0
1220,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.92888879336536,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
1221,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.49282643623283,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
1222,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.59201440051768,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
1223,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.59917888244827,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
1224,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.59959131947736,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
1225,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.7742225283817,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
1226,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.4902510280029,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
1227,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.67555917364996,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
1228,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.89806206365927,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
1229,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.8094212712525,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1230,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.80763922824093,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
1231,False,"{'a': 0.5, 'e': 1.0}",20,6,-74.65097857230822,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
1232,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.46129571685245,"{0: 13, 1: 0, 2: 2, 3: 4, 4: 1}",0
1233,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.8771666523722,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
1234,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.52988726661093,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
1235,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.24035582924301,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
1236,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.80555555047346,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
1237,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.94104986471199,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
1238,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.735376245482875,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1239,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.05208567655778,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
1240,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.9009546636049,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
1241,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.77090887828578,"{0: 5, 1: 5, 2: 7, 3: 0, 4: 3}",0
1242,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.5093382488107,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
1243,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.79446779247044,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
1244,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.76059073723508,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
1245,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.05776069244415,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
1246,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.42950497246233,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
1247,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.75150524524261,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
1248,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.54867002825057,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
1249,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.74293384487687,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
1250,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.41256582863973,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
1251,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.54395316439084,"{0: 19, 1: 3, 2: 4, 3: 4, 4: 0}",0
1252,False,"{'a': 0.5, 'e': 1.0}",20,5,-102.12132950391867,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 1}",1
1253,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.32287662803233,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
1254,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.68198822777975,"{0: 12, 1: 0, 2: 4, 3: 4, 4: 0}",0
